41,1000
4,2000
5,4000
10,8000
28,16000
34,32000
64,64000
126,128000
251,256000
500,512000
2,1000
3,2000
5,4000
8,8000
17,16000
32,32000
64,64000
126,128000
251,256000
501,512000
2,1000
3,2000
7,4000
9,8000
17,16000
32,32000
65,64000
126,128000
251,256000
523,512000
2,1000
3,2000
5,4000
10,8000
32,16000
41,32000
75,64000
137,128000
260,256000
511,512000
3,1000
7,2000
10,4000
18,8000
27,16000
43,32000
73,64000
137,128000
259,256000
512,512000
1,1000
2,2000
9,4000
14,8000
17,16000
32,32000
64,64000
126,128000
250,256000
500,512000
1,1000
2,2000
5,4000
9,8000
17,16000
32,32000
64,64000
126,128000
258,256000
499,512000
2,1000
4,2000
5,4000
8,8000
17,16000
33,32000
63,64000
127,128000
250,256000
499,512000
2,1000
3,2000
5,4000
9,8000
16,16000
32,32000
64,64000
126,128000
250,256000
501,512000
2,1000
3,2000
5,4000
9,8000
16,16000
38,32000
64,64000
126,128000
251,256000
500,512000
